OBJECTID,UNITID,AGENCY,FIRENAME,FIRENUM,STARTDATE,PERIMDATE,ACRES,YEAR,CAUSE,SHAPEAREA,SHAPELEN
12,WANES,WA DNR - NE Region,Unknown,Unknown,1973-01-01T00:00:00.000Z,1973-01-01T00:00:00.000Z,499.72147776,1973,Unknown,21767780.5,19715.3965534394
13,WANES,WA DNR - NE Region,Unknown,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,100.46829673,1991,Unknown,4376381.5,8645.8060582547
14,WANES,WA DNR - NE Region,Unknown,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,26.39785582,1991,Unknown,1149886,4055.30474050211
15,WASES,WA DNR - SE Region,Cleveland Fire,Unknown,1998-07-27T00:00:00.000Z,1998-07-27T00:00:00.000Z,18500.4198579,1998,Lightning,805875065.5,143802.55906529
16,WASES,WA DNR - SE Region,Major Creek Fire,Unknown,1999-07-01T00:00:00.000Z,1999-07-01T00:00:00.000Z,730.60635447,1999,Unknown,31825085.5,34745.4072301126
17,WASES,WA DNR - SE Region,Easton Fire,Unknown,1999-09-11T00:00:00.000Z,1999-09-11T00:00:00.000Z,75.93894012,1999,Unknown,3307887,8346.40643984661
18,WASES,WA DNR - SE Region,Middle Fork Fire,Unknown,2000-08-29T00:00:00.000Z,2000-08-29T00:00:00.000Z,2.24146902,2000,Unknown,97638,1233.87418311586
19,WASES,WA DNR - SE Region,Whites Basin Fire,Unknown,2000-07-17T00:00:00.000Z,2000-07-17T00:00:00.000Z,122.67797005,2000,Unknown,5343831,14408.7529853834
20,WAOWF,Okan-Wen NF,Bailey Fire,Unknown,2001-08-13T00:00:00.000Z,2001-08-13T00:00:00.000Z,3211.96752531,2001,Unknown,139912745.75,85511.1072889559
21,WASES,WA DNR - SE Region,Dry Creek Fire,Unknown,2001-08-01T00:00:00.000Z,2001-08-01T00:00:00.000Z,17.14686611,2001,Unknown,746914.5,3467.790279607
22,WANES,WA DNR - NE Region,Gambles Mill Fire (Brewster,Unknown,2001-08-12T00:00:00.000Z,2001-08-12T00:00:00.000Z,5516.094728,2001,Unknown,240280125.2285,79565.077700267
23,WASES,WA DNR - SE Region,Highland Flats Fire,Unknown,2001-08-01T00:00:00.000Z,2001-08-01T00:00:00.000Z,128.72576743,2001,Unknown,5607272,15603.2062509586
24,WANES,WA DNR - NE Region,Indian Dan Fire (Brewster Complex),333,2001-08-12T00:00:00.000Z,2001-08-12T00:00:00.000Z,584.61616996,2001,Unknown,25465778.5,23112.9043613485
25,WAOWF,Okan-Wen NF,Libby South Fire,Unknown,2001-07-09T00:00:00.000Z,2001-07-09T00:00:00.000Z,3789.27302155,2001,Unknown,165060072.576589,75715.3340154696
26,WAOWF,Okan-Wen NF,Rex Creek Fire,Unknown,2001-08-12T00:00:00.000Z,2001-08-12T00:00:00.000Z,44581.48303191,2001,Unknown,1941961633,472970.53099302
27,WAGPF,Gifford Pinchot NF,Salt Creek Fire (Salt Creek Complex),090,2001-09-15T00:00:00.000Z,2001-09-15T00:00:00.000Z,312.56508176,2001,Unknown,13615280.5,31030.2070535688
28,WANES,WA DNR - NE Region,Pingston,271,2007-07-28T00:00:00.000Z,2007-07-28T00:00:00.000Z,126.1982665,2007,Unknown,5497174.5,12280.9296169835
29,WACOA,Colville Agency,Abraham Canyon,166,2008-07-10T00:00:00.000Z,2008-07-13T00:00:00.000Z,372.33179875,2008,Unknown,16218708.27853,21459.9279836214
30,WASES,WA DNR - SE Region,Spruce Dome Complex,Unknown,2001-08-16T00:00:00.000Z,2001-08-16T00:00:00.000Z,2722.11064738,2001,Unknown,118574665.5,114102.018432307
31,WACOA,Colville Agency,St. Mary's Fire (Virginia Lake Complex),132,2001-08-12T00:00:00.000Z,2001-08-12T00:00:00.000Z,32978.7297895,2001,Unknown,1436547723.4225,335745.224620086
32,WAOWF,Okan-Wen NF,Tommy Creek Fire,709,2001-09-16T00:00:00.000Z,2001-09-16T00:00:00.000Z,647.1737262,2001,Unknown,28190774.75,41293.4413991273
33,WASES,WA DNR - SE Region,Touchet Road,Unknown,2001-08-01T00:00:00.000Z,2001-08-01T00:00:00.000Z,258.25443063,2001,Unknown,11249518,16295.7707818378
34,WASES,WA DNR - SE Region,Union Valley Fire,366,2001-07-27T00:00:00.000Z,2001-07-27T00:00:00.000Z,4523.3080209,2001,Unknown,197034509.25,95576.3877567014
35,WASPD,Spokane BLM,Deer Mountain Fire,Unknown,2002-08-16T00:00:00.000Z,2002-08-16T00:00:00.000Z,2280.88454823,2002,Unknown,99354933.5,52617.8213420216
36,WAOWF,Okan-Wen NF,Deer Point Fire,Unknown,2002-07-15T00:00:00.000Z,2002-07-15T00:00:00.000Z,20993.93033698,2002,Unknown,914491947.5,236870.867922614
37,WASES ,WA DNR - SE Region,Ewe Neck Fire,Unknown,2002-08-01T00:00:00.000Z,2002-08-01T00:00:00.000Z,75.9503038,2002,Unknown,3308382,10674.3134605298
38,WANES,WA DNR - NE Region,Black Canyon Fire,310,2003-08-10T00:00:00.000Z,2003-08-10T00:00:00.000Z,2281.36471544,2003,Unknown,99375849.5,67625.6338818602
39,WANES,WA DNR - NE Region,Bulldog Fire,403,2003-09-05T00:00:00.000Z,2003-09-05T00:00:00.000Z,411.58409583,2003,Unknown,17928531.5,28466.9253839119
40,WAOWF,Okan-Wen NF,Farewell Fire (Fawn Peak Complex),Unknown,2003-06-30T00:00:00.000Z,2003-06-30T00:00:00.000Z,81233.40724807,2003,Unknown,3538513065.631,430202.408447805
41,WAOWF,Okan-Wen NF,Fawn Peak Fire (Fawn Peak Complex),199,2003-06-30T00:00:00.000Z,2003-06-30T00:00:00.000Z,74.02080802,2003,Unknown,3224333.5,8643.14500834376
42,WAMSF,Mt. Baker-Snoq NF,Gold Hill Fire (North Zone Complex),147,2003-08-07T00:00:00.000Z,2003-08-07T00:00:00.000Z,169.78598676,2003,Unknown,7395848,16111.6336546386
43,WAOWF,Okan-Wen NF,Maple,467,2003-09-06T00:00:00.000Z,2003-09-06T00:00:00.000Z,1626.25142006,2003,Unknown,70839228.5,85591.9350915302
44,WACOA,Colville Agency,McGinnis Flat,097,2003-07-18T00:00:00.000Z,2003-07-18T00:00:00.000Z,2255.85284801,2003,Unknown,98264557,49410.0006225948
45,WAOWF,Okan-Wen NF,Needles Fire,398,2003-09-03T00:00:00.000Z,2003-09-03T00:00:00.000Z,19328.21003774,2003,Unknown,841933461.5,285480.365194866
46,WAMRP,Mount Rainier NP,Panther Fire (Mount Rainier Complex),168,2003-08-21T00:00:00.000Z,2003-08-21T00:00:00.000Z,43.95596095,2003,Unknown,1914714,6367.03544373455
47,WACOA,Colville Agency,Rattlesnake Canyon Fire,079,2003-07-05T00:00:00.000Z,2003-07-05T00:00:00.000Z,10486.7618965,2003,Unknown,456801521,158290.702743987
48,WAMRP,Mount Rainier NP,Redstone Fire (Mount Rainier Complex),168,2003-08-21T00:00:00.000Z,2003-08-21T00:00:00.000Z,46.97740324,2003,Unknown,2046327.5,6460.51128050182
49,WAOWF,Okan-Wen NF,Square Lake Fire,482,2003-08-26T00:00:00.000Z,2003-08-26T00:00:00.000Z,903.30043368,2003,Unknown,39347609.5,42067.1891565
50,WASPD,Spokane BLM,Beebe,003,2004-07-04T00:00:00.000Z,2004-07-06T00:00:00.000Z,4205.59362447,2004,Unknown,183194925.5,115531.072962644
51,WANES,WA DNR - NE Region,Bottle Two,103,2004-06-21T00:00:00.000Z,2004-06-23T00:00:00.000Z,33.38955045,2004,Lightning,1454443,6989.5913933926
52,WAOWF,Okan-Wen NF,Deep Harbor Fire (Pot Peak / Sisi Ridge Complex),271,2004-06-19T00:00:00.000Z,2004-08-16T00:00:00.000Z,29995.51187816,2004,Unknown,1306599271,247462.907769926
53,WAOWF,Okan-Wen NF,Dirty Face Peak,639,2004-08-16T00:00:00.000Z,2004-08-16T00:00:00.000Z,295.32827038,2004,Unknown,12864448,14590.7110981991
54,WACOA,Colville Agency,Elmer City,218,2004-07-29T00:00:00.000Z,2004-07-29T00:00:00.000Z,1928.78592682,2004,Children,84017578.901,80032.0602759451
55,WAOWF,Okan-Wen NF,Fischer,689,2004-08-08T00:00:00.000Z,2004-08-23T00:00:00.000Z,16425.33218253,2004,Equipment Use,715484607.924,188662.900550893
56,WAOWF,Okan-Wen NF,Freezeout Fire (Williams Butte Complex),248,2004-06-24T00:00:00.000Z,2004-08-13T00:00:00.000Z,708.04545155,2004,Lightning,30842336.5,91475.4006850217
57,WANES,WA DNR - NE Region,Bluehoo Fire (Highlands Complex),464,2004-08-19T00:00:00.000Z,2004-08-19T00:00:00.000Z,10.26878534,2004,Unknown,447306.5,3056.18097650604
58,WACOA,Colville Agency,Hopkins Canyon Fire (Hopkins Canyon Complex),143,2004-06-26T00:00:00.000Z,2004-07-03T00:00:00.000Z,5071.7412695,2004,Unknown,220924166,75793.2948130132
59,WAOWF,Okan-Wen NF,Icicle,443,2004-07-15T00:00:00.000Z,2004-07-23T00:00:00.000Z,696.92253057,2004,Unknown,30357824,26167.8891549864
60,WASES,WA DNR - SE Region,Lauderdale,543,2004-07-25T00:00:00.000Z,2004-07-28T00:00:00.000Z,247.8296494,2004,Arson,10795416.346,23638.6135677165
61,WAOWF,Okan-Wen NF,Mebee Fire (Williams Butte Complex),666,2004-08-10T00:00:00.000Z,2004-08-17T00:00:00.000Z,234.37441537,2004,Lightning,10209308.696,15191.285168208
62,WANES,WA DNR - NE Region,Mill Canyon Fire (Mill Canyon Complex),334,2004-08-01T00:00:00.000Z,2004-08-05T00:00:00.000Z,1090.03615537,2004,Recreation,47481785,48130.6060422872
63,WASES,WA DNR - SE Region,Mud Lake,693,2004-08-10T00:00:00.000Z,2004-08-14T00:00:00.000Z,3864.29302832,2004,Unknown,168327931,66960.7795244516
64,WAOWF,Okan-Wen NF,Peeve Fire (Williams Butte Complex),Unknown,2004-07-30T00:00:00.000Z,2004-07-30T00:00:00.000Z,51.23623571,2004,Unknown,2231841.5,7113.3671360895
65,WAOWF,Okan-Wen NF,Pot Peak Fire (Pot Peak / Sisi Ridge Complex),271,2004-06-26T00:00:00.000Z,2004-08-02T00:00:00.000Z,15395.1402249,2004,Lightning,670609625.75,172317.902708391
66,WAOWF,Okan-Wen NF, ,271,2004-06-26T00:00:00.000Z,2004-06-26T00:00:00.000Z,1.77180461,2004,Unknown,77179.5,1146.5056788559
67,WAOWF,Okan-Wen NF,Rattlesnake Peak,553,2004-07-18T00:00:00.000Z,2004-08-14T00:00:00.000Z,662.25788606,2004,Unknown,28847838.125,50650.243288341
68,WAOWF,Okan-Wen NF,Reecer,062,2004-04-27T00:00:00.000Z,2004-04-28T00:00:00.000Z,107.75963673,2004,Campfire,4693991,10990.0621977491
69,WAOWF,Okan-Wen NF,Sisi Ridge Fire (Pot Peak / Sisi Ridge Complex),525,2004-06-19T00:00:00.000Z,2004-07-26T00:00:00.000Z,343.19843432,2004,Lightning,14949664,20513.7092048144
70,WAOWF,Okan-Wen NF,Williams Butte Fire (Williams Butte Complex),755,2004-08-16T00:00:00.000Z,2004-08-22T00:00:00.000Z,1257.84650291,2004,Lightning,54791574.5,32342.702576707
71,WANES,WA DNR - NE Region,Burnt Bread,177,2005-08-06T00:00:00.000Z,2005-08-25T00:00:00.000Z,1351.45740167,2005,Miscellaneous,58869248.93895,52872.2520877892
72,WASES,WA DNR - SE Region,Dirty Face Fire,365,2005-07-30T00:00:00.000Z,2005-08-07T00:00:00.000Z,1150.52522308,2005,Miscellaneous,50116678.25,40917.0524081619
73,WANES,WA DNR - NE Region,Harker Canyon,219,2005-08-10T00:00:00.000Z,2005-08-14T00:00:00.000Z,1557.29132443,2005,Unknown,67835338.75,54959.6163829392
74,WASPA,Spokane Agency,Hot Falls,Unknown,2005-07-15T00:00:00.000Z,2005-07-15T00:00:00.000Z,174.4137027,2005,Arson,7597430.5,13379.8335885456
75,WASES,WA DNR - SE Region,Lick Creek,392,2005-08-04T00:00:00.000Z,2005-08-07T00:00:00.000Z,734.67808219,2005,Equipment Use,32002449.25,30363.9597635077
76,WANES,WA DNR - NE Region,Martin Road Fire,346,2005-09-28T00:00:00.000Z,2005-09-28T00:00:00.000Z,877.5770755,2005,Debris Burning,38227104.5,39967.9877619529
77,WANES,WA DNR - NE Region,Pearrygin Lake,089,2005-07-03T00:00:00.000Z,2005-07-07T00:00:00.000Z,531.28786895,2005,Miscellaneous,23142807,21133.2494643068
78,ORUMF,Umatilla NF,School Fire,Unknown,2005-08-05T00:00:00.000Z,2005-08-16T00:00:00.000Z,49684.75034004,2005,Unknown,2164259067.75,370901.339731481
79,WACOA,Colville Agency,Second HUD,Unknown,2005-07-06T00:00:00.000Z,2005-07-06T00:00:00.000Z,4176.06234755,2005,Unknown,181908548.222827,92371.9847281603
80,WANCP,North Cascades NP,Shady,Unknown,2005-07-19T00:00:00.000Z,2005-08-02T00:00:00.000Z,153.16695794,2005,Miscellaneous,6671926,11571.7732104116
81,WAWFS,WA Fire Service,Badger Mountain Fire (Badger Mtn Complex),902,2008-07-10T00:00:00.000Z,2008-07-13T00:00:00.000Z,13265.63743152,2008,Unknown,577848855.114558,135259.593797116
82,WASPD,Spokane BLM,Spud Fire,Unknown,2005-06-28T00:00:00.000Z,2005-06-29T00:00:00.000Z,123.42634311,2005,Unknown,5376430,15872.1286228318
83,WANES,WA DNR - NE Region,Squaw Creek,320,2005-09-08T00:00:00.000Z,2005-09-11T00:00:00.000Z,1097.04661729,2005,Electric Fence,47787159.5,35882.4760827997
84,WAMCR,Mid Columbia NWR,Weather Station,Unknown,2005-07-05T00:00:00.000Z,2005-07-07T00:00:00.000Z,4914.72714895,2005,Miscellaneous,214084658.267044,74570.9159100282
85,WACOA,Colville Agency,West Lake Omak,Unknown,2005-07-12T00:00:00.000Z,2005-07-15T00:00:00.000Z,11264.63688587,2005,Equipment Use,490685620,164770.808939763
86,WASES,WA DNR - SE Region,Wood Gulch,325,2005-07-23T00:00:00.000Z,2005-07-26T00:00:00.000Z,5751.16107854,2005,Unknown,250519574.5,111030.640886623
87,WAOLP,Olympic NP,Bear Gulch II,215,2006-07-25T00:00:00.000Z,2006-08-28T00:00:00.000Z,797.59432903,2006,Unknown,34743070,33627.1444501972
88,WANES,WA DNR - NE Region,Bisbee Mtn. Fire,455,2006-09-09T00:00:00.000Z,2006-09-11T00:00:00.000Z,485.10347565,2006,MiscellaneouS,21131022.875,27739.0920408509
89,WAOWF,Okan-Wen NF,Cedar Creek (Tripod Complex),553,2006-08-22T00:00:00.000Z,2006-09-13T00:00:00.000Z,1631.10970282,2006,Lightning,71050854.45075,108173.7111259
110,WA,Unknown,Ninemile,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,15044.23400608,1991,Unknown,655324212,262466.060728184
111,WA,Unknown,Chattaroy,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,4728.47892308,1991,Unknown,205971718,195519.2194165
112,WA,Unknown,Unknown,Unknown,1985-01-01T00:00:00.000Z,1985-01-01T00:00:00.000Z,184.77554397,1985,Unknown,8048790.5,13850.2580143408
113,WA,Unknown,Ponderosa,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,1474.66884633,1991,Unknown,64236318,44536.838310892
114,WA,Unknown,Jennings Road,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,283.505668,1991,Unknown,12349457.5,17743.3190125517
115,WA,Unknown,Ninemile Rd,Unknown,1996-01-01T00:00:00.000Z,1996-01-01T00:00:00.000Z,3019.12954666,1996,Unknown,131512757,118253.2598604
116,WA,Unknown,Rambo Rd,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,268.75578117,1991,Unknown,11706955,22103.2723074454
117,WA,Unknown,Greenbluff,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,98.2191027,1991,Unknown,4278407,9548.6410352686
118,WA,Unknown,Leeson Pit,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,146.57213128,1991,Unknown,6384656.5,14159.3078716685
119,WA,Unknown,Temple,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,190.32213411,1991,Unknown,8290399,19270.0869857035
120,WA,Unknown,Holcomb,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,744.13699858,1991,Unknown,32414478,30166.5958673184
121,WA,Unknown,Trent,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,797.31130449,1991,Unknown,34730741.5,41967.7738833178
122,WA,Unknown,Hangman,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,131.05694066,1991,Unknown,5708817.5,11726.0692760814
178,WANCP,North Cascades NP,Yaxon,346,2010-07-29T00:00:00.000Z,2010-08-02T00:00:00.000Z,6.68998526,2010,Lightning,291414.5921575,2296.85765909225
179,WA,Unknown,Homestead,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,283.16590539,1991,Unknown,12334657.5,14922.600348567
90,WASES,WA DNR - SE Region,Columbia Complex,545,2006-08-21T00:00:00.000Z,2006-08-21T00:00:00.000Z,109401.7753911,2006,Unknown,4765522273.89,1367013.44217068
91,WASPS,WA DNR - SPS Region,Dewatto 2,074,2006-09-02T00:00:00.000Z,2006-09-06T00:00:00.000Z,61.2668931,2006,Arson,2668775.1885,9567.11724230056
92,WAOWF,Okan-Wen NF,Flick Creek,406,2006-07-07T00:00:00.000Z,2006-09-14T00:00:00.000Z,7888.75476548,2006,Campfire,343632783.049,181931.46672425
93,WAMSF,Mt. Baker-Snoq NF,Greenwater 7440,341,2006-09-02T00:00:00.000Z,2006-09-12T00:00:00.000Z,193.16638966,2006,Unknown,8414294.2765,18690.2042106178
94,WAYAA,BIA - Yakima,Jungle Butte (Jungle Butte Complex),098,2006-09-04T00:00:00.000Z,2006-09-04T00:00:00.000Z,92.94075285,2006,Unknown,4048483,10241.2347126374
95,WAYAA,BIA - Yakima,Klose Butte (Jungle Butte Complex),098,2007-09-04T00:00:00.000Z,2007-09-04T00:00:00.000Z,36.79927484,2006,Unknown,1602970,5733.10994202536
96,WAYAA,BIA - Yakima,Peavine Ridge (Jungle Butte Complex),098,2006-09-04T00:00:00.000Z,2006-09-09T00:00:00.000Z,321.59226433,2006,Unknown,14008503,23630.181290663
97,WAOWF,Okan-Wen NF,Polallie,634,2006-09-04T00:00:00.000Z,2006-09-14T00:00:00.000Z,961.6584334,2006,Lightning,41889673.7995,45950.93099291
98,WANES,WA DNR - NE Region,Quinn's Meadow,422,2006-08-29T00:00:00.000Z,2006-09-02T00:00:00.000Z,323.23782876,2006,Debris Burn,14080183.5,23813.4602895479
99,WAOWF,Okan-Wen NF,Tatoosh (Tatoosh Complex),547,2006-08-22T00:00:00.000Z,2006-09-12T00:00:00.000Z,54331.78201564,2006,Unknown,2366682957.841,703318.834732813
100,WAOWF,Okan-Wen NF,Tinpan,304,2006-07-07T00:00:00.000Z,2006-09-14T00:00:00.000Z,9253.1123814,2006,Lightning,403063963.07325,284800.515522715
101,WANES,WA DNR - NE Region,Valley Mill,298,2006-08-08T00:00:00.000Z,2006-08-08T00:00:00.000Z,460.53613966,2006,Debris Burn,20060874,26368.2062774887
102,WAOWF,Okan-Wen NF,Van Peak,638,2006-09-04T00:00:00.000Z,2006-09-04T00:00:00.000Z,1815.93883514,2006,Lightning,79101979.25,85314.6100976922
103,WAWFS,WA Fire Service,Lewis and Clark,1772,2007-06-13T00:00:00.000Z,2007-06-15T00:00:00.000Z,752.88580539,2007,Equipment Use,32795574.5,20866.6293898515
104,WAWFS,WA Fire Service,Horse Heaven Complex - Sixprong,802,2007-07-13T00:00:00.000Z,2007-07-16T00:00:00.000Z,20395.00144907,2007,Lightning,888402709.5,247964.660129023
105,WAWFS,WA Fire Service,Horse Heaven Complex - WoodGulch,802,2007-07-13T00:00:00.000Z,2007-07-13T00:00:00.000Z,7665.65524937,2007,Unknown,333914607,117459.489560026
106,WACOF,Colville NF,Crown Creek,092,2007-07-13T00:00:00.000Z,2007-07-19T00:00:00.000Z,34.56344748,2007,Lightning,1505577.75,7213.0291072789
107,WANES,WA DNR - NE Region,Moses - DNR Complex,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,4440.2636862,1991,Unknown,193417112.5,90036.2434263148
108,WA,Unknown,Marshall,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,988.30662769,1991,Unknown,43050464.5,70739.5284136253
109,WA,Unknown,Happy Hill,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,624.0279782,1991,Unknown,27182550,25239.1533074947
149,WAMSF,Mt. Baker-Snoq NF,Gold Hill,Unknown,2009-07-30T00:00:00.000Z,2009-08-05T00:00:00.000Z,18.88934802,2009,Unknown,822816.708365,6030.34435202616
150,WACOA,Colville Agency,Milepost 281,272,2009-09-01T00:00:00.000Z,2009-09-03T00:00:00.000Z,310.06666942,2009,Miscellaneous,13506450.094137,15679.2499412272
123,WA,Unknown,Excelsior Road,Unknown,1987-01-01T00:00:00.000Z,1987-01-01T00:00:00.000Z,1255.68839052,1987,Unknown,54697567.5,52648.1172330526
124,WA,Unknown,Salnave,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,463.60812165,1991,Unknown,20194689,24364.8285853942
125,WA,Unknown,Springdale,Unknown,1991-08-01T00:00:00.000Z,1991-08-01T00:00:00.000Z,628.65719782,1991,Unknown,27384198,32241.286818876
126,WAWFS,WA Fire Service,Browns Canyon Fire (Badger Mtn Complex),902,2008-07-09T00:00:00.000Z,2008-07-14T00:00:00.000Z,1782.34822885,2008,Miscellaneous,77638778.2927585,45355.9500435516
127,WAWFS,WA Fire Service,Baird Springs,812,2008-06-15T00:00:00.000Z,2008-06-16T00:00:00.000Z,3645.75496607,2008,Unknown,158808451.0861,67348.1266188573
128,WACOA,Colville Agency,Columbia River Road,205,2008-08-07T00:00:00.000Z,2008-08-13T00:00:00.000Z,22155.09265476,2008,Arson,965071975.74198,224055.507505252
129,WACOA,Colville Agency,French Valley,165,2008-07-10T00:00:00.000Z,2008-07-13T00:00:00.000Z,1366.42475276,2008,Unknown,59521224.1448145,49252.6725405531
130,WANES,WA DNR - NE Region,Green Lake,595,2008-07-31T00:00:00.000Z,2008-08-01T00:00:00.000Z,1350.32718303,2008,Structure Fire,58820016.811837,36273.6643369838
131,WAMCR,Mid Columbia NWR,Incident 262,0061,2008-07-27T00:00:00.000Z,2008-07-27T00:00:00.000Z,3142.16921166,2008,Unknown,136872343.36901,54149.810888724
132,WAOWF,Okan-Wen NF,Jack Creek,481,2008-08-10T00:00:00.000Z,2008-08-19T00:00:00.000Z,1057.71002699,2008,Lightning,46073664.48048,38594.3378765026
133,WANES,WA DNR - NE Region,Jackass Butte (Rattlesnake Point Complex),193,2008-07-01T00:00:00.000Z,2008-07-04T00:00:00.000Z,1765.70079189,2008,Lightning,76913618.8394625,43888.4565919824
134,WANES,WA DNR - NE Region,Rattlesnake Point Complex,193,2008-07-01T00:00:00.000Z,2008-07-01T00:00:00.000Z,752.53378316,2008,Unknown,32780240.473232,29932.428381424
135,WAWFS,WA Fire Service,Rock Lake,910,2008-08-18T00:00:00.000Z,2008-08-19T00:00:00.000Z,2287.50288034,2008,Missing/Undefined,99643226.8935555,86207.5327182018
136,WAWFS,WA Fire Service,Seep Lakes,813,2008-06-29T00:00:00.000Z,2008-06-30T00:00:00.000Z,1901.06872278,2008,Miscellaneous,82810222.322295,66657.0701258865
137,WANES,WA DNR - NE Region,Spokane Valley,378,2008-07-10T00:00:00.000Z,2008-07-13T00:00:00.000Z,1005.79276005,2008,Unknown,43812157.378674,35497.9154127391
138,WANES,WA DNR - NE Region,Swanson Lake,866,2008-08-18T00:00:00.000Z,2008-08-26T00:00:00.000Z,18038.73104031,2008,Missing/Undefined,785763981.05036,335668.382660988
139,WACOA,Colville Agency,Wilmont,180,2008-07-13T00:00:00.000Z,2008-07-14T00:00:00.000Z,148.8113823,2008,Lightning,6482197.8839135,15159.9642760552
140,WAYAA,BIA - Yakima,Ransier Road,Unknown,2009-06-29T00:00:00.000Z,2009-06-29T00:00:00.000Z,354.17699465,2009,Unknown,15427888.1753265,25521.050790918
141,WASES,WA DNR - SE Region,Forrest,Unknown,2009-07-11T00:00:00.000Z,2009-07-12T00:00:00.000Z,255.38194915,2009,Unknown,11124393.207293,20636.5269555278
142,WAHNC,Hanford,ENW,Unknown,2009-07-17T00:00:00.000Z,2009-07-17T00:00:00.000Z,3.22583479,2009,Unknown,140516.8014825,1402.24792380267
143,WACOA,Colville Agency,Fish Hatchery,Unknown,2009-07-23T00:00:00.000Z,2009-07-25T00:00:00.000Z,237.13494544,2009,Lightning,10329556.9050565,17026.8751184322
144,WACOA,Colville Agency,Owhi Tree,Unknown,2009-07-23T00:00:00.000Z,2009-07-25T00:00:00.000Z,10.45928908,2009,Lightning,455604.809773,2886.58198515469
145,WACOA,Colville Agency,Johnson Lake,165,2009-07-23T00:00:00.000Z,2009-07-25T00:00:00.000Z,711.99459944,2009,Lightning,31014360.693884,34222.1710171628
146,WAMSF,Mt. Baker-Snoq NF,Deer 1,Unknown,2009-07-30T00:00:00.000Z,2009-08-05T00:00:00.000Z,0.53222827,2009,Unknown,23183.7707145,949.116346488596
147,WAWFS,WA Fire Service,Union Valley,Unknown,2009-07-29T00:00:00.000Z,2009-08-01T00:00:00.000Z,524.69205564,2009,Lightning,22855494.521611,28426.7301425317
